BNF_Section,BNF_Name,Prespecified,N_Wards,Total_Items,Kendall_Tau,P_Value,Significant,D1_Mean,D10_Mean
13.4,Topical Corticosteroids,False,178,232950,0.010093315558941154,0.8414614387699086,False,113.84019585134007,109.2867154161928
20.4,BNF 20.4,False,160,1585,0.013050314465408806,0.8065097048139775,False,0.8009587755340828,0.8218432615563467
21.38,BNF 21.38,False,121,402,0.013498622589531679,0.8262227765146134,False,0.20409402776202404,0.24040985077750365
9.5,Minerals,False,178,16640,0.014156033771345142,0.7790651800646271,False,8.270453649797433,7.288143433716158
11.6,Glaucoma,False,178,110509,0.023297149749254113,0.6443024130551922,False,53.842461797223606,54.91383260910708
21.7,BNF 21.7,False,178,7643,0.024058909414079857,0.6335131613009828,False,3.374698661061399,2.9262285701626833
21.14,BNF 21.14,False,162,1648,0.02430795184418373,0.646147305331106,False,0.8760599984185373,0.801434743217193
13.13,Wound Preparations,False,84,455,0.02581755593803787,0.7280821345128925,False,0.4205349567961433,0.471295468862169
11.5,Mydriatics & Cycloplegics,False,158,1543,0.026687091832621142,0.6187232008787918,False,0.7843879006770085,0.7894871954511742
20.14,BNF 20.14,False,107,223,0.02768471169105978,0.6725590538865469,False,0.12511559319701512,0.16377771922915052
21.12,BNF 21.12,False,177,5390,0.029147406266050332,0.564633621068616,False,2.3921011562387973,3.2668622454129697
9.4,Oral Nutrition,False,86,322,0.029274965800273597,0.6898242749191823,False,0.20219537608480836,0.2642383451052269
20.2,BNF 20.2,False,178,8971,0.029582605950467883,0.5577171201497505,False,3.890037912930642,3.2605516264369188
23.85,BNF 23.85,False,177,6949,0.031587057010785825,0.5325081388372015,False,3.0504373819037354,2.783046951710185
13.7,Skin Dressings,False,177,4304,0.03261427837699024,0.5192639062566572,False,1.9965633942875276,2.43985038299042
2.7,Sympathomimetics,False,139,2323,0.033157812463601485,0.5625483600437158,False,1.4886540855262995,1.9572300972118983
22.80,BNF 22.80,False,173,4675,0.03602634762736927,0.4816472157859404,False,2.0899125872718107,2.0579503058512696
23.35,BNF 23.35,False,177,9100,0.04185927067282999,0.40814191972338854,False,4.483626825716155,5.345121253870774
22.30,BNF 22.30,False,129,958,0.04239341085271318,0.47611284748237015,False,0.5303196355193434,0.594909611240577
9.8,Metabolic Disorders,False,41,188,0.04390243902439024,0.6859555298180886,False,0.2505430298581909,0.31092678180685984
22.70,BNF 22.70,False,33,94,0.045454545454545456,0.7236547407471661,False,0.13664883898513058,0.5317005097594748
21.2,BNF 21.2,False,178,18789,0.04678473941471466,0.3538447772184101,False,8.880942976556934,9.127507329524159
3.9,Cough Preparations,False,168,4263,0.05018534359851726,0.3342203474661847,False,1.7620138588702676,1.8219430242147683
21.29,BNF 21.29,False,69,146,0.05456095481670929,0.5073445615248963,False,0.10769652040750324,0.1268947353938388
21.48,BNF 21.48,False,178,99816,0.055798895448486006,0.26881496153962947,False,47.90616899465293,44.65867266313394
21.41,BNF 21.41,False,165,2246,0.056614929785661496,0.28041353890190424,False,0.763008517535069,0.9576417010963065
13.2,Emollients,False,178,199005,0.06227385259950486,0.2171606967646843,False,96.64264500039559,101.15163382946083
4.4,CNS Stimulants,False,178,57661,0.06430521170570686,0.20253239867692752,False,28.176244143860302,32.70027705242235
23.99,BNF 23.99,False,15,33,0.06666666666666668,0.770495669755301,False,0.1603679719774301,0.13736840955399623
15.1,Anaesthetics (General),False,178,8873,0.06836792991811085,0.17545490937800257,False,3.9618638514797277,4.319160120076997
21.16,BNF 21.16,False,178,12821,0.06951056941534946,0.1683493568548996,False,6.220891160373001,5.595718446975731
6.7,Other Endocrine,False,170,2416,0.0713539853811347,0.16719187457131712,False,1.2618386032436886,1.097929693109525
4.11,Dementia,False,178,99262,0.07357328762775346,0.14482950437177597,False,48.36281902681066,51.960124544895514
20.3,BNF 20.3,False,178,83775,0.07928648511394656,0.11612193152167237,False,37.66347340767293,35.35742125595305
21.20,BNF 21.20,False,169,1990,0.08030431107354186,0.12117205431066568,False,0.8107027819960436,0.8191944872164245
22.5,BNF 22.5,False,126,794,0.08114285714285714,0.17781775938354794,False,0.3849738268196013,0.6578614904508856
22.85,BNF 22.85,False,146,713,0.08370730794922386,0.13384649340518592,False,0.29963954575325286,0.5850271515642333
7.5,Appliances for urinary disorders,False,18,75,0.08496732026143793,0.6540288801767573,False,0.27174316866326775,0.9036787579858332
21.3,BNF 21.3,False,15,26,0.08571428571428572,0.6971814254173712,False,0.18247497839857485,0.22157550139816878
21.4,BNF 21.4,False,61,227,0.08633879781420764,0.3254989147680972,False,0.08458850503561968,0.1759236587534477
13.8,Sunscreens,False,178,13850,0.08652320192979115,0.08640478813326606,False,6.837580012076822,6.973471281741097
2.1,Positive Inotropic Drugs,False,178,32844,0.09210943947184665,0.06794361533860344,False,14.880221914414161,16.037851623269873
21.25,BNF 21.25,False,70,107,0.09730848861283645,0.23350848482821696,False,0.11659358890719992,0.16999041871114612
20.20,BNF 20.20,False,124,609,0.1130343561500131,0.06263924586279283,False,0.35190759937594746,0.5545227661193827
7.2,Vaginal & Vulval,False,178,99486,0.11343871008696757,0.024571482577055,False,45.70459715405918,54.5069422767567
9.12,Nutrition (enteral),False,83,305,0.11431090214516601,0.12605998844597244,False,0.2396213621070896,0.4999318354701827
22.50,BNF 22.50,False,178,8504,0.11750142829937156,0.01988096466479228,False,4.066417060111177,4.385328087655199
6.4,Sex Hormones,False,178,323230,0.12600774455659242,0.012519213332748162,False,147.54741971522446,170.47448718246287
21.6,BNF 21.6,False,36,44,0.12698412698412698,0.2758578612557615,False,0.0661230957240414,0.164139777537442
21.8,BNF 21.8,False,49,79,0.14285714285714282,0.14758003246394835,False,0.09113254044300714,0.21281679068335219
21.13,BNF 21.13,False,150,2572,0.14702460850111854,0.007588754183111125,False,0.8249383818662542,1.5545809977386051
19.14,BNF 19.14,False,95,937,0.1493840985442329,0.031995611803982985,False,0.4547624986913938,1.1820560424006425
20.10,BNF 20.10,False,177,4582,0.15164355418592707,0.002730261079143766,False,1.884761187864867,2.392586579876761
23.25,BNF 23.25,False,39,86,0.15789473684210525,0.1569705653046883,False,0.0900537608536584,0.2029025064899882
9.11,Nutrition (oral supplements),False,48,270,0.1719858156028369,0.08465733875389952,False,0.8093480779701558,0.7791531765815198
23.80,BNF 23.80,False,178,51182,0.1729829238875135,0.0006078384568762845,False,20.9584700310984,27.097863716346705
22.60,BNF 22.60,False,178,11938,0.17336380371992638,0.0005911547811590128,False,5.456965397860266,6.679377084044454
23.30,BNF 23.30,False,167,1593,0.17956857369598153,0.0005717335207428202,False,0.48252673231549703,1.0360541861703505
20.1,BNF 20.1,False,19,46,0.18128654970760236,0.2983021854281703,False,0.19194507887242818,0.21185174267500193
21.33,BNF 21.33,False,36,87,0.20317460317460317,0.08125077369559815,False,0.16920353517630998,0.36332819539420436
23.20,BNF 23.20,False,35,68,0.21008403361344538,0.07586833499439007,False,0.16726482692992997,0.20410043703025837
21.43,BNF 21.43,False,12,26,0.2121212121212121,0.38070480349126185,False,0.15160326345329894,0.10798976084172057
11.7,Local Anaesthetics (Eye),False,54,70,0.21313766596785463,0.022880594628606497,False,0.06691777324682331,0.1144649679961491
20.15,BNF 20.15,False,15,17,0.21904761904761905,0.2815660702955676,False,0.06148056635556526,0.13717736732498625
21.18,BNF 21.18,False,76,172,0.22596491228070176,0.0038739115263044725,False,0.13724638957279298,0.29890800280274005
14.4,Vaccines & Antisera,False,176,14644,0.26116883116883116,2.6611503386555834e-07,True,5.4407084819853235,11.612242542042809
23.50,BNF 23.50,False,16,47,0.31666666666666665,0.09604970873347041,False,0.08951296677311621,0.5087480888181337
22.90,BNF 22.90,False,20,35,0.3368421052631579,0.039762136700688226,False,0.06427623235982163,0.10472913720920718
21.42,BNF 21.42,False,13,34,0.4102564102564102,0.05725682817696707,False,0.18174232160551687,0.2777676206671753
